STEP_TYPE,STEP_NAME,OS_STEP_COLUMN_NAME,CS_STEP_COLUMN_NAME,FORECAST_STEP_COLUMN_NAME,ACTUAL_STEP_COLUMN_NAME,SORT_ORDER,BIW_INS_DTTM,BIW_UPD_DTTM,BIW_BATCH_ID
GATE,DEFINITION COMMIT,CONCEPT_COMMIT_DATE,CONCEPT_COMMIT_DATE,CONCEPT_COMMIT_DATE,ACTUAL_END_DATE,1,12/9/2022 8:02,12/9/2022 8:02,-1
GATE,PLAN COMMIT,PLAN_COMMIT_DATE,PLAN_COMMIT_DATE,PLAN_COMMIT_DATE,ACTUAL_END_DATE,2,12/9/2022 8:02,12/9/2022 8:02,-1
MILESTONE,DESIGN BOUNDED (MILESTONE),,,,ACT_END_DATE,3,12/9/2022 8:02,12/9/2022 8:02,-1
MILESTONE,DESIGN CAPTURED (MILESTONE),,,,ACT_END_DATE,4,12/9/2022 8:02,12/9/2022 8:02,-1
MILESTONE,DESIGN IMPLEMENTED (MILESTONE),,,,ACT_END_DATE,5,12/9/2022 8:02,12/9/2022 8:02,-1
GATE,DESIGN RELEASE,DESIGN_RELEASE_DATE,DESIGN_RELEASE_DATE,DESIGN_RELEASE_COMMIT_DATE,ACTUAL_END_DATE,6,12/9/2022 8:02,12/9/2022 8:02,-1
MILESTONE,FIRST PASS TAPE OUT (MILESTONE),FTO_DATE,FTO_DATE,FTO_MS_COMMIT_DATE,ACT_END_DATE,7,12/9/2022 8:02,12/9/2022 8:02,-1
MILESTONE,FIRST SHIP PROTOTYPES (MILESTONE),FSP_DATE,FSP_DATE,FSP_MS_COMMIT_DATE,ACT_END_DATE,8,12/9/2022 8:02,12/9/2022 8:02,-1
GATE,VALIDATE COMPLETE,DEVELOP_COMPLETE_DATE,DEVELOP_COMPLETE_DATE,DEVELOP_COMMIT_DATE,ACTUAL_END_DATE,9,12/9/2022 8:02,12/9/2022 8:02,-1
MILESTONE,FIRST PART RELEASE (MILESTONE),FPR_DATE,FPR_DATE,FPR_MS_COMMIT_DATE,ACT_END_DATE,10,12/9/2022 8:02,12/9/2022 8:02,-1
GATE,QUALIFY COMPLETE,QUALIFY_COMPLETE_DATE,QUALIFY_COMPLETE_DATE,QUALIFY_COMMIT_DATE,ACTUAL_END_DATE,11,12/9/2022 8:02,12/9/2022 8:02,-1
GATE,MANUFACTURING RELEASE,LAUNCH_COMPLETE_DATE,LAUNCH_COMPLETE_DATE,LAUNCH_COMMIT_DATE,ACTUAL_END_DATE,12,12/9/2022 8:02,12/9/2022 8:02,-1
GATE,TAPEOUT1,TAPEOUT1_DATE,TAPEOUT1_DATE,TAPEOUT1_DATE,ACTUAL_END_DATE,13,12/9/2022 8:02,12/9/2022 8:02,-1
GATE,TAPEOUT2,TAPEOUT2_DATE,TAPEOUT2_DATE,TAPEOUT2_DATE,ACTUAL_END_DATE,14,12/9/2022 8:02,12/9/2022 8:02,-1
GATE,TAPEOUT3,TAPEOUT3_DATE,TAPEOUT3_DATE,TAPEOUT3_DATE,ACTUAL_END_DATE,15,12/9/2022 8:02,12/9/2022 8:02,-1
GATE,TAPEOUT4,TAPEOUT4_DATE,TAPEOUT4_DATE,TAPEOUT4_DATE,ACTUAL_END_DATE,16,12/9/2022 8:02,12/9/2022 8:02,-1
GATE,TAPEOUT5,TAPEOUT5_DATE,TAPEOUT5_DATE,TAPEOUT5_DATE,ACTUAL_END_DATE,17,12/9/2022 8:02,12/9/2022 8:02,-1
